ano;cod_agrup_prem;cod_premissa;tipo_clb;flag_ativa;valor_m01;valor_m02;valor_m03;valor_m04;valor_m05;valor_m06;valor_m07;valor_m08;valor_m09;valor_m10;valor_m11;valor_m12
2023;SELL_PA_FL;vr;5;s;674,5;674,5;674,5;674,5;674,5;674,5;674,5;674,5;674,5;674,5;674,5;674,5
2023;SELL_PA_FL;vr;6;s;674,5;674,5;674,5;674,5;674,5;674,5;674,5;674,5;674,5;674,5;674,5;674,5
2023;SELL_PA_FL;vr;7;s;674,5;674,5;674,5;674,5;674,5;674,5;674,5;674,5;674,5;674,5;674,5;674,5
2023;SP;ass_med;1;s;385,04;385,04;385,04;385,04;385,04;385,04;385,04;385,04;385,04;385,04;385,04;385,04
2023;SP;ass_med;3;s;384,63;384,63;384,63;384,63;384,63;384,63;384,63;384,63;384,63;384,63;384,63;384,63
2023;SP;ass_med;4;s;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71
2023;SP;ass_med;5;s;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71
2023;SP;ass_med;6;s;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71
2023;SP;ass_med;7;s;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71
2023;SP;dissidio;*;s;0;0;0;0;7;0;0;0;0;0;0;0
2023;SP;vr;1;s;807,5;807,5;807,5;807,5;807,5;807,5;807,5;807,5;807,5;807,5;807,5;807,5
2023;SP;vr;2;s;807,5;807,5;807,5;807,5;807,5;807,5;807,5;807,5;807,5;807,5;807,5;807,5
2023;SP;vr;3;s;807,5;807,5;807,5;807,5;807,5;807,5;807,5;807,5;807,5;807,5;807,5;807,5
2023;SP;vr;4;s;807,5;807,5;807,5;807,5;807,5;807,5;807,5;807,5;807,5;807,5;807,5;807,5
2023;SP;vr;5;s;807,5;807,5;807,5;807,5;807,5;807,5;807,5;807,5;807,5;807,5;807,5;807,5
2023;SP;vr;6;s;807,5;807,5;807,5;807,5;807,5;807,5;807,5;807,5;807,5;807,5;807,5;807,5
2023;SP;vr;7;s;807,5;807,5;807,5;807,5;807,5;807,5;807,5;807,5;807,5;807,5;807,5;807,5
2023;SUL_CUR;ass_med;1;s;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09
2023;SUL_CUR;ass_med;2;n;0;0;0;0;0;0;0;0;0;0;0;0
2023;SUL_CUR;ass_med;3;n;0;0;0;0;0;0;0;0;0;0;0;0
2023;SUL_CUR;ass_med;4;s;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09
2023;SUL_CUR;ass_med;5;s;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09
2023;SUL_CUR;ass_med;6;s;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09
2023;SUL_CUR;ass_med;7;s;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09
2023;SUL_CUR;dissidio;*;s;0;0;0;0;0;7;0;0;0;0;0;0
2023;SUL_CUR;vr;1;s;908,2;908,2;908,2;908,2;908,2;908,2;908,2;908,2;908,2;908,2;908,2;908,2
2023;SUL_CUR;vr;2;s;908,2;908,2;908,2;908,2;908,2;908,2;908,2;908,2;908,2;908,2;908,2;908,2
2023;SUL_CUR;vr;3;s;908,2;908,2;908,2;908,2;908,2;908,2;908,2;908,2;908,2;908,2;908,2;908,2
2023;SUL_CUR;vr;4;s;908,2;908,2;908,2;908,2;908,2;908,2;908,2;908,2;908,2;908,2;908,2;908,2
2023;SUL_CUR;vr;5;s;908,2;908,2;908,2;908,2;908,2;908,2;908,2;908,2;908,2;908,2;908,2;908,2
2023;SUL_CUR;vr;6;s;908,2;908,2;908,2;908,2;908,2;908,2;908,2;908,2;908,2;908,2;908,2;908,2
2023;SUL_CUR;vr;7;s;908,2;908,2;908,2;908,2;908,2;908,2;908,2;908,2;908,2;908,2;908,2;908,2
2023;SUL_FL;ass_med;1;s;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09
2023;SUL_FL;ass_med;4;s;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09
2023;SUL_FL;ass_med;5;s;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09
2023;SUL_FL;ass_med;6;s;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09
2023;SUL_FL;ass_med;7;s;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09
2023;SUL_FL;dissidio;*;s;0;0;0;0;7;0;0;0;0;0;0;0
2023;SUL_FL;vr;1;s;674,5;674,5;674,5;674,5;674,5;674,5;674,5;674,5;674,5;674,5;674,5;674,5
2023;SUL_FL;vr;2;s;266;266;266;266;266;266;266;266;266;266;266;266
2023;SUL_FL;vr;3;s;674,5;674,5;674,5;674,5;674,5;674,5;674,5;674,5;674,5;674,5;674,5;674,5
2023;SUL_FL;vr;4;s;674,5;674,5;674,5;674,5;674,5;674,5;674,5;674,5;674,5;674,5;674,5;674,5
2023;SUL_FL;vr;5;s;674,5;674,5;674,5;674,5;674,5;674,5;674,5;674,5;674,5;674,5;674,5;674,5
2023;SUL_FL;vr;6;s;674,5;674,5;674,5;674,5;674,5;674,5;674,5;674,5;674,5;674,5;674,5;674,5
