ano;premissa;ativa;tipoSegmCentroCusto;segmTipoClb;empresa;agrupPremissas;tipoColaborador;m01;m02;m03;m04;m05;m06;m07;m08;m09;m10;m11;m12
2023;inssEmpr;s;e;s;C0304;;1;8,8;8,8;8,8;8,8;8,8;8,8;8,8;8,8;8,8;8,8;8,8;8,8
2023;inssEmpr;s;e;s;C0304;;2;8,8;8,8;8,8;8,8;8,8;8,8;8,8;8,8;8,8;8,8;8,8;8,8
2023;inssEmpr;s;e;s;C0304;;6;8,8;8,8;8,8;8,8;8,8;8,8;8,8;8,8;8,8;8,8;8,8;8,8
2023;inssEmpr;s;e;s;C0600;;1;28,8;28,8;28,8;28,8;28,8;28,8;28,8;28,8;28,8;28,8;28,8;28,8
2023;inssEmpr;s;e;s;C0600;;2;28,8;28,8;28,8;28,8;28,8;28,8;28,8;28,8;28,8;28,8;28,8;28,8
2023;inssEmpr;s;e;s;C0600;;6;28,8;28,8;28,8;28,8;28,8;28,8;28,8;28,8;28,8;28,8;28,8;28,8
2023;inssEmpr;s;e;s;C2216;;1;28,8;28,8;28,8;28,8;28,8;28,8;28,8;28,8;28,8;28,8;28,8;28,8
2023;inssEmpr;s;e;s;C2216;;2;28,8;28,8;28,8;28,8;28,8;28,8;28,8;28,8;28,8;28,8;28,8;28,8
2023;inssEmpr;s;e;s;C2216;;5;20;20;20;20;20;20;20;20;20;20;20;20
2023;inssEmpr;s;e;s;C2216;;6;28,8;28,8;28,8;28,8;28,8;28,8;28,8;28,8;28,8;28,8;28,8;28,8
2023;inssEmpr;s;e;s;C2546;;1;8,8;8,8;8,8;8,8;8,8;8,8;8,8;8,8;8,8;8,8;8,8;8,8
2023;inssEmpr;s;e;s;C2546;;2;8,8;8,8;8,8;8,8;8,8;8,8;8,8;8,8;8,8;8,8;8,8;8,8
2023;inssEmpr;s;e;s;C2546;;6;8,8;8,8;8,8;8,8;8,8;8,8;8,8;8,8;8,8;8,8;8,8;8,8
2023;inssEmpr;s;e;s;C3099;;1;28,055;28,055;28,055;28,055;28,055;28,055;28,055;28,055;28,055;28,055;28,055;28,055
2023;inssEmpr;s;e;s;C3099;;2;28,055;28,055;28,055;28,055;28,055;28,055;28,055;28,055;28,055;28,055;28,055;28,055
2023;inssEmpr;s;e;s;C3099;;5;20;20;20;20;20;20;20;20;20;20;20;20
2023;inssEmpr;s;e;s;C3099;;6;28,055;28,055;28,055;28,055;28,055;28,055;28,055;28,055;28,055;28,055;28,055;28,055
2023;inssEmpr;s;e;s;C3216;;1;26,8;26,8;26,8;26,8;26,8;26,8;26,8;26,8;26,8;26,8;26,8;26,8
2023;inssEmpr;s;e;s;C3216;;2;26,8;26,8;26,8;26,8;26,8;26,8;26,8;26,8;26,8;26,8;26,8;26,8
2023;inssEmpr;s;e;s;C3216;;5;20;20;20;20;20;20;20;20;20;20;20;20
2023;inssEmpr;s;e;s;C3216;;6;26,8;26,8;26,8;26,8;26,8;26,8;26,8;26,8;26,8;26,8;26,8;26,8
2023;prov13;s;a;s;;*;1;8,333;8,333;8,333;8,333;8,333;8,333;8,333;8,333;8,333;8,333;8,333;8,333
2023;prov13;s;a;s;;*;2;8,333;8,333;8,333;8,333;8,333;8,333;8,333;8,333;8,333;8,333;8,333;8,333
2023;prov13;s;a;s;;*;6;8,333;8,333;8,333;8,333;8,333;8,333;8,333;8,333;8,333;8,333;8,333;8,333
2023;provFerias;s;a;s;;*;1;5,556;5,556;5,556;5,556;5,556;5,556;5,556;5,556;5,556;5,556;5,556;5,556
2023;provFerias;s;a;s;;*;2;5,556;5,556;5,556;5,556;5,556;5,556;5,556;5,556;5,556;5,556;5,556;5,556
2023;provFerias;s;a;s;;*;6;5,556;5,556;5,556;5,556;5,556;5,556;5,556;5,556;5,556;5,556;5,556;5,556
2023;segVida;s;a;n;;*;;0,264;0,264;0,264;0,264;0,264;0,264;0,264;0,264;0,264;0,264;0,264;0,264
2023;vr;n;a;s;;C_OESTE;1;657,76;657,76;657,76;657,76;657,76;657,76;657,76;657,76;657,76;657,76;657,76;657,76
2023;vr;n;a;s;;C_OESTE;2;657,76;657,76;657,76;657,76;657,76;657,76;657,76;657,76;657,76;657,76;657,76;657,76
